"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"2466",1,10575389,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",1,10575388,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575238,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",1,10575381,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575100,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",3,10575380,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575027,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575351,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",3,10575379,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575340,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575329,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",3,10575378,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575323,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575312,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",4,10575377,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575295,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575284,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575273,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",3,10575376,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575267,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575261,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575250,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575244,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",3,10575375,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575232,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575221,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575210,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575199,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",3,10575374,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575188,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575178,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575167,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",4,10575373,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575151,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575148,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575146,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",3,10575372,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575135,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575123,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575113,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575105,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",3,10575371,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575095,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575087,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575078,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575070,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",3,10575370,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575061,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575053,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575044,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",4,10575369,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575031,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575028,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575026,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",3,10575368,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575025,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575017,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575016,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",5,10575145,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575015,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",6,10575367,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575014,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",5,10575144,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575013,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575012,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575011,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",3,10575366,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575010,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575350,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",5,10575142,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575349,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",7,10575365,"Luxembourg, Gare Centrale (Tram)","",0,,,,
"2466",2,10575347,"Luxembourg, Gare Centrale (Tram)","",0,,,,
