0,0,0
100,240,71656
200,337,108331
300,402,135535
400,430,158454
500,453,178049
600,459,195107
700,471,209977
800,483,223291
900,489,235514
1000,494,246446
1100,499,256497
1200,502,265548
1300,509,273542
1400,511,281038
1500,511,288034
1600,515,294478
1700,516,300311
1800,518,305654
1900,521,310495
2000,522,314858
2100,523,318876
2200,523,322605
2300,526,325992
2400,528,328891
2500,531,331246
2600,533,332842
2700,537,333440
2779,537,333578
