0,0,0
221,10,35330
425,20,69894
575,30,100756
705,40,124118
817,50,142394
1017,60,163158
1193,70,180209
1297,80,198926
1440,90,210809
1579,100,223982
1698,110,234263
1787,120,244185
1900,130,255077
1952,140,262711
2041,150,271926
2131,160,280204
2205,170,287272
2269,180,294178
2351,190,299130
2420,200,305708
2470,210,308605
2512,220,312602
2554,230,315009
2598,240,317159
2624,250,318885
2636,260,320242
2649,270,321815
2657,280,323108
2665,290,324473
2686,300,325681
2697,310,326644
2706,320,327112
2709,330,327698
2718,340,328158
2723,350,328595
2729,360,329097
2735,370,329617
2738,380,329919
2748,390,330301
2749,400,330550
2753,410,330721
2760,420,331070
2763,430,331379
2764,440,331626
2765,450,331831
2769,460,332048
2770,470,332217
2771,480,332377
2774,490,332501
2776,500,332640
2777,520,333151
2779,537,333578
